truth,temporal_asymmetry,initial_m,final_m,regime_code,regime
-0.7200000000000001,-0.76,0.6,-0.9273325726346252,0,neutral
-0.7200000000000001,-0.74,0.6,-0.9273325586517162,0,neutral
-0.7200000000000001,-0.7200000000000001,0.6,-0.9273325397767574,0,neutral
-0.7200000000000001,-0.7000000000000001,0.6,-0.927332514298218,0,neutral
-0.7200000000000001,-0.68,0.6,-0.927332479905768,0,neutral
-0.7200000000000001,-0.66,0.6,-0.9273324334807819,0,neutral
-0.7200000000000001,-0.64,0.6,-0.9273323708135426,0,neutral
-0.7200000000000001,-0.6200000000000001,0.6,-0.9273322862215033,0,neutral
-0.7200000000000001,-0.6000000000000001,0.6,-0.9273321720339851,0,neutral
-0.7200000000000001,-0.5800000000000001,0.6,-0.9273320178965777,0,neutral
-0.7200000000000001,-0.56,0.6,-0.9273318098321476,0,neutral
-0.7200000000000001,-0.54,0.6,-0.927331528973281,0,neutral
-0.7200000000000001,-0.52,0.6,-0.927331149851165,0,neutral
-0.7200000000000001,-0.5,0.6,-0.9273306380856444,0,neutral
-0.7200000000000001,-0.48000000000000004,0.6,-0.9273299472668083,0,neutral
-0.7200000000000001,-0.46,0.6,-0.9273290147449952,0,neutral
-0.7200000000000001,-0.44000000000000006,0.6,-0.9273277559468429,0,neutral
-0.7200000000000001,-0.42000000000000004,0.6,-0.9273260567008418,0,neutral
-0.7200000000000001,-0.4,0.6,-0.9273237628744223,0,neutral
-0.7200000000000001,-0.38000000000000006,0.6,-0.9273206663791224,0,neutral
-0.7200000000000001,-0.36000000000000004,0.6,-0.9273164862679357,0,neutral
-0.7200000000000001,-0.34,0.6,-0.9273108431982526,0,neutral
-0.7200000000000001,-0.32000000000000006,0.6,-0.9273032249218773,0,neutral
-0.7200000000000001,-0.30000000000000004,0.6,-0.9272929396311087,0,neutral
-0.7200000000000001,-0.28,0.6,-0.9272790528542822,0,neutral
-0.7200000000000001,-0.26,0.6,-0.9272603020396282,0,neutral
-0.7200000000000001,-0.24,0.6,-0.9272349808282856,0,neutral
-0.7200000000000001,-0.22000000000000008,0.6,-0.9272007820586698,0,neutral
-0.7200000000000001,-0.20000000000000007,0.6,-0.9271545844172898,0,neutral
-0.7200000000000001,-0.18000000000000005,0.6,-0.9270921618344973,0,neutral
-0.7200000000000001,-0.16000000000000003,0.6,-0.927007786418022,0,neutral
-0.7200000000000001,-0.14,0.6,-0.9268936836622985,0,neutral
-0.7200000000000001,-0.12,0.6,0.8303432478140296,1,self_fulfilling
-0.7200000000000001,-0.09999999999999998,0.6,0.8525260895007326,1,self_fulfilling
-0.7200000000000001,-0.08000000000000007,0.6,0.8649266926855761,1,self_fulfilling
-0.7200000000000001,-0.06000000000000005,0.6,0.8727526635283165,1,self_fulfilling
-0.7200000000000001,-0.040000000000000036,0.6,0.8779858813257395,1,self_fulfilling
-0.7200000000000001,-0.020000000000000018,0.6,0.8816038203202236,1,self_fulfilling
-0.7200000000000001,0.0,0.6,0.8841581377900285,1,self_fulfilling
-0.7200000000000001,0.020000000000000018,0.6,0.8859868898017335,1,self_fulfilling
-0.7200000000000001,0.039999999999999925,0.6,0.8873088120879169,1,self_fulfilling
-0.7200000000000001,0.05999999999999994,0.6,0.8882708425105851,1,self_fulfilling
-0.7200000000000001,0.07999999999999996,0.6,0.8889743414349782,1,self_fulfilling
-0.7200000000000001,0.09999999999999998,0.6,0.8894905749095827,1,self_fulfilling
-0.7200000000000001,0.12,0.6,0.8898703480693789,1,self_fulfilling
-0.7200000000000001,0.14,0.6,0.8901502476374737,1,self_fulfilling
-0.7200000000000001,0.15999999999999992,0.6,0.8903568172805647,1,self_fulfilling
-0.7200000000000001,0.17999999999999994,0.6,0.8905094198173951,1,self_fulfilling
-0.7200000000000001,0.19999999999999996,0.6,0.8906222367955536,1,self_fulfilling
-0.7200000000000001,0.21999999999999997,0.6,0.8907056858377895,1,self_fulfilling
-0.7200000000000001,0.24,0.6,0.8907674364399699,1,self_fulfilling
-0.7200000000000001,0.26,0.6,0.890813144086937,1,self_fulfilling
-0.7200000000000001,0.28,0.6,0.8908469841424144,1,self_fulfilling
-0.7200000000000001,0.30000000000000004,0.6,0.8908720419582469,1,self_fulfilling
-0.7200000000000001,0.32000000000000006,0.6,0.8908905989308864,1,self_fulfilling
-0.7200000000000001,0.3400000000000001,0.6,0.8909043428112425,1,self_fulfilling
-0.7200000000000001,0.3599999999999999,0.6,0.8909145226284771,1,self_fulfilling
-0.7200000000000001,0.3799999999999999,0.6,0.8909220629802971,1,self_fulfilling
-0.7200000000000001,0.3999999999999999,0.6,0.8909276484384425,1,self_fulfilling
-0.7200000000000001,0.41999999999999993,0.6,0.8909317859338128,1,self_fulfilling
-0.7200000000000001,0.43999999999999995,0.6,0.8909348508935796,1,self_fulfilling
-0.7200000000000001,0.45999999999999996,0.6,0.8909371213771289,1,self_fulfilling
-0.7200000000000001,0.48,0.6,0.8909388033408577,1,self_fulfilling
-0.7200000000000001,0.5,0.6,0.8909400493417778,1,self_fulfilling
-0.7200000000000001,0.52,0.6,0.8909409723863456,1,self_fulfilling
-0.7200000000000001,0.54,0.6,0.8909416561860096,1,self_fulfilling
-0.7200000000000001,0.56,0.6,0.8909421627525564,1,self_fulfilling
-0.7200000000000001,0.5800000000000001,0.6,0.8909425380237032,1,self_fulfilling
-0.7200000000000001,0.6000000000000001,0.6,0.8909428160299897,1,self_fulfilling
-0.7200000000000001,0.6199999999999999,0.6,0.8909430219813349,1,self_fulfilling
